keyword,content
Colours,"Green leaves will turn red. (5)
 Colours change, with the seasons (7) 
 It’s not only black and white. (7)
 Choose a colour, make a wish. (7)
 Snow melts away, colours bloom. (7)
 See the colours bloom. (5)
 Hear the flowers sing. (5)
 Colourful, vision I draw (7)
 Show me your colours (5)
 A wonderland, with colours (7)
 A shade for everybody (7)
 Bright, dark, and everything else (7)
 My shade is awesome (5)
 Every colour is awesome (7)"
Voice,"The song that I know (5)
 The song that only I know (7)
 Listen to my voice (5)
 Will you listen to my words? (7) 
 Showing what I feel. (5)
 Voice for the voiceless (5)
 Voice of the young (5)
 Sweet, I hear them sing (5)
 No words can express. (5)
 Hear me, whispering (5) 
 Hear the rejected souls weep (7)
 I can’t hide my inner voice (7)"
Love,"Affair of the heart (5)
 With love, peace in mind (7) 
 Born, able, to love (5)
 Love is all music. (5)
 You know, it is love. (5)
 Love, you raise me up (5)
 Heart skipping a beat (5)
 Knowing you will be here (7)
 Go through thick and thin (5)
 Family wedding banquet (7)
 Being each other’s support (7)
 Telling you “I do” (5)
 Staying by your side (5)
 Not having to hide (5)
 Accept me as me (5)
 Unconditional (5)
 Love is not a crime (5)
 Chosen family (5)
 Love/ see me as I am (5) 
 Carefully watered Bonsai (7)"
Glory,"Jubilation with cheers (7)
 Chanting with glory (5)
 Glory days, remember. (5)
 Glory days, I do remember. (7)
 Dream of that sparkling moment. (7)
 This moment, sparkling. (5) 
 Shine. Now is the time. (5) 
 To be seen and heard (5)
 Winning the fight for many (7)"
Brave,"Undaunted, I show my love (7)
 Close your eyes, dive in. (5)
 Naked, unafraid. (5)
 Unbeaten by the rivals (7)
  March on, and believe. (5) 
 Applause for your bravery (7)
 Applause for your great courage (7) 
 mom, I am not straight (5)
 dad, I am not straight (5)
 hey, I am not straight (5)
 Coming out of the closet (7)
 Facing the inner demons (7)
 Stand up for yourself (5)
 Break social construct (5)
 Call out homophobia (7)
 Tearing off labels (5)"
Natural,"Clouds fly driven by wind (7)
 Listen, it’s call of nature (7) 好似尿急 
 By the river, willow dances (7)
 River flows, wind swirls (5)
 Leaves swing and grow (5)
 The moon is shining, so bright (7)
 A blanket of snow (5)
 Fallen leaves, the air is brisk (7)
 Sunshine, abundant (5)
 Are we still debating this?! (7)
 We are born this way (5)"
Beauty,"Equality, our beauty (7)
 Beauty, our appetency (7)
 Prejudice can’t beat beauty (7)
 Solidarity, beauty (7)
 Just as who you are (5)
 Behind those closed doors (5)
 Shining through the closet doors (7)
 All shapes and sizes (5)
 When you be yourself (5)
 You get to define (5)
 All kinds of beauty (5)"
Tolerance,"Without prejudice (5)
 Accept difference (5)
 We talk, but may not agree (7)
 One forest, many trees thrive. (7)
 The ocean, encompasses. (7)
 Welcoming, although foreign. (7)
 Embracing the odd. (5)
 Embracing the odd one out. (5)"
Motion,"Move our body (5)
 Stretch out, touch the sky (5)
 Paddling in the river. (5)
 Jump, reach for the stars. (5)
 Swimming in a sea of light. (7)
 Move mountains, and hearts. (5)
 Dream on, speed away. (5)
 Push that door open (5)"
Identity,"You are who you are (5)
 I am what I am (5)
 I love, therefore I am (7)
 Search, there’s a meaning (5)
 I have the full say (5)
 Get me the right tag (5)
 No longer confused (5)
 Respect who I am (5)
 See me as I am (5)
 No misgendering (5)
 Labels are so yesterday (7)
 Identity is fluid (7)"
Respect,"Respectfully yours (5)
 Pot of tea, we share (5)
 Kudos at one another (7)
 Standing ovation to you (7)
 Hoping for understanding (7)
 Respect nature, respect love. (7)
 Nobody is too little. (7)"
Free/freedom,"Free to love, free to marry (7)
 Free to marry, great! (5)
 Enjoy the freedom (5)
 Spread our love without restraint (7)
 Not having to hide (5)
 The freedom from dear (5)
 Uninhibited. (5) 
 Nothing will hold us back now. (7)
 Flying free, like birds (5) 
 Swimming wild, like fish (5) 
 Like children running around. (7)"
Inclusive,"Embrace. All on earth. (5) 
 Welcome, to the house of love (5)
 Welcome, spring of hope. (5) 
 A welcoming heart (5) 
 A welcoming, old village (7)
 All encompassing (5)
 All encompassing, your heart (5) 
 All unicorns welcome (5) 
 Hugs for everyone (5)
 Ditch all prejudice (5)"
Connect,"Connect overcomes hatred (7)
 We love, we connect (5)
 Solidarity beats scorn (7)
 We believe, we win (5)
 Seeing myself in others (7)
 Breaking barriers (5)"
